id,model,price,ram,cpu,weight,layer
1,Apple MacBook Pro,1339.69,8,2.3,1.37,5
2,Apple Macbook Air,898.94,8,1.8,1.34,1
3,HP 250 G6,575,8,2.5,1.86,1
4,Apple MacBook Pro,2537.45,16,2.7,1.83,8
5,Apple MacBook Pro,1803.6,8,3.1,1.37,1
6,Acer Aspire 3,400,4,3,2.1,2
7,Apple MacBook Pro,2139.97,16,2.2,2.04,7
8,Apple Macbook Air,1158.7,8,1.8,1.34,5
9,Asus ZenBook UX430UN,1495,16,1.8,1.3,1
10,Acer Swift 3,770,8,1.6,1.6,3
11,HP 250 G6,393.9,4,2.5,1.86,2
12,HP 250 G6,344.99,4,2,1.86,1
13,Apple MacBook Pro,2439.97,16,2.8,1.83,7
14,Dell Inspiron 3567,498.9,4,2,2.2,17
15,Apple ""MacBook 12"""""",1262.4,8,1.2,0.92,2
16,Apple MacBook Pro,1518.55,8,2.3,1.37,8
17,Dell Inspiron 3567,745,8,2.7,2.2,7
18,Apple MacBook Pro,2858,16,2.9,1.83,1
19,Lenovo IdeaPad 320-15IKB,499,8,2.4,2.2,2
20,Dell XPS 13,979,8,1.6,1.22,1
21,Asus Vivobook E200HA,191.9,2,1.44,0.98,1
22,Lenovo Legion Y520-15IKBN,999,8,2.5,2.5,18
23,HP 255 G6,258,4,1.5,1.86,2
24,Dell Inspiron 5379,819,8,1.6,1.62,4
25,HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),659,8,1.8,1.91,5
26,Dell Inspiron 3567,418.64,4,2,2.3,8
27,Apple MacBook Air,1099,8,1.6,1.35,5
28,Dell Inspiron 5570,800,8,1.6,2.2,12
29,Dell Latitude 5590,1298,8,1.9,1.88,12
30,HP ProBook 470,896,8,1.6,2.5,18
31,Chuwi ""LapBook 15.6"""""",244.99,4,1.44,1.89,2
32,Asus E402WA-GA010T (E2-6110/2GB/32GB/W10),199,2,1.5,1.65,2
33,HP 17-ak001nv (A6-9220/4GB/500GB/Radeon,439,4,2.5,2.71,6
34,Dell XPS 13,1869,16,1.8,1.2,3
35,Apple MacBook Air,998,8,1.6,1.35,3
36,Lenovo IdeaPad 120S-14IAP,249,4,1.1,1.44,3
37,Acer Aspire 3,367,4,2.7,2.1,1
38,Dell Inspiron 5770,979,8,1.6,2.8,23
39,HP 250 G6,488.69,4,2.5,1.86,6
40,HP ProBook 450,879,8,1.6,2.1,11
41,Asus X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),389,4,2,2,5
42,Dell Inspiron 7577,1499,16,2.8,2.65,6
43,Asus X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,522.99,8,2.5,2.3,3
44,Acer Aspire A515-51G,682,4,1.6,2.2,22
45,Dell Inspiron 7773,999,12,1.6,2.77,4
46,Apple MacBook Pro,1419,8,2,1.37,7
47,Lenovo IdeaPad 320-15ISK,369,4,2,2.2,5
48,Asus Rog Strix,1299,8,3,3.2,3
49,Dell Inspiron 3567,639,4,2.5,2.3,16
50,Asus X751NV-TY001T (N4200/4GB/1TB/GeForce,466,4,1.1,2.8,16
51,Lenovo Yoga Book,319,4,1.44,0.69,1
52,Acer Aspire A515-51G,841,8,1.8,2.2,12
53,HP 255 G6,398.49,4,2.5,1.86,3
54,HP ProBook 430,1103,8,1.8,1.49,5
55,Acer Aspire 3,384,4,2.4,2.4,2
56,Dell Inspiron 3576,767.8,8,1.8,2.13,8
57,HP 15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),439,4,2,1.91,7
58,Asus VivoBook Max,586.19,4,2.5,2,11
59,MSI GS73VR 7RG,2449,16,2.8,2.43,10
60,Asus X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),415,4,2,2,6
61,Dell Inspiron 5770,1299,16,1.8,2.8,5
62,Dell Vostro 5471,879,8,1.6,1.7,6
63,Lenovo IdeaPad 520S-14IKB,599,8,2.7,1.7,1
64,Asus UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),941,8,1.6,1.4,3
66,HP 250 G6,690,8,2.5,1.86,3
67,Asus ZenBook Pro,1983,16,2.8,1.8,3
68,HP 250 G6,438.69,4,2,1.86,5
69,HP Stream 14-AX040wm,229,4,1.6,1.44,1
70,Lenovo V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),549,4,2.5,1.9,9
71,Asus FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,949,12,2.8,3,3
72,Microsoft Surface Laptop,1089,4,2.5,1.252,3
73,Dell Inspiron 5370,955,8,1.8,1.4,3
74,Dell Inspiron 5570,870,8,1.8,2.2,13
75,MSI GL72M 7RDX,1095,8,2.5,2.7,22
76,Acer Aspire E5-475,389,8,2,2.1,1
77,Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,949,8,2.8,2.2,3
78,Lenovo IdeaPad 320-15IKBN,519,8,2.5,2.2,2
79,Dell Inspiron 5570,855,8,1.8,2.02,9
80,Acer Aspire A515-51G-32MX,530,4,2.7,2.2,6
81,HP ProBook 470,977,8,1.6,2.5,22
82,Dell Latitude 5590,1096.16,8,1.6,1.88,9
83,Apple ""MacBook 12"""""",1510,8,1.3,0.92,2
84,HP ProBook 440,860,8,1.6,1.63,5
85,Lenovo IdeaPad 320-15AST,399,4,2.5,2.2,5
86,Acer Aspire 3,395,4,3,2.1,1
87,Dell Inspiron 7577,1349,16,2.8,2.65,5
88,HP Pavilion 15-CK000nv,699,8,1.8,1.83,3
89,HP 250 G6,598.99,8,2.5,1.96,4
90,Asus FX503VM-E4007T (i7-7700HQ/16GB/1TB,1449,16,2.8,2.2,2
91,Dell XPS 13,1649,8,1.8,1.21,8
92,Asus FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,699,8,3,2.45,2
93,Acer Aspire 5,689,8,1.8,2.2,8
94,HP Probook 430,1197,16,1.8,1.49,1
95,Dell Inspiron 7577,1195,8,2.5,2.65,22
96,Asus Zenbook UX430UA,1049,8,2.7,1.25,1
97,Acer Spin 5,847,8,1.6,1.5,2
98,Dell Inspiron 3567,599.9,8,2.7,2.2,2
99,Dell Inspiron 3567,485,4,2,2.2,16
100,Asus X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,577,6,2.4,2,3
102,HP Omen 15-ce007nv,1249,12,2.8,2.62,3
103,HP 15-bs017nv (i7-7500U/8GB/256GB/Radeon,719,8,2.7,1.91,2
104,HP 15-bw000nv (E2-9000e/4GB/500GB/Radeon,349,4,1.5,2.1,8
105,Dell Inspiron 3576,647,8,1.6,2.2,7
106,HP Envy 13-ad009n,1119,8,2.7,1.38,3
107,Microsoft Surface Laptop,1340,8,2.5,1.252,4
108,HP Pavilion 14-BK001nv,659,6,2.5,1.58,2
109,Lenovo Ideapad 310-15ISK,414.9,4,2,1.85,3
110,Asus UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,1193,8,2.7,1.3,2
111,MSI GP62M 7REX,1299,16,2.8,2.2,1
112,Lenovo Thinkpad T470,1480,8,2.7,1.58,6
113,Asus VivoBook S15,1262,16,1.8,1.5,2
114,Dell XPS 13,1379,8,2.4,1.23,5
115,Lenovo ThinkPad Yoga,1399,8,2.5,1.37,6
116,HP Probook 440,722,4,1.6,1.63,10
117,Dell XPS 13,1629,8,1.6,1.21,9
118,HP Spectre x360,1398.99,8,1.6,1.26,6
119,HP Probook 440,1084,8,1.8,1.63,8
120,Dell Inspiron 7570,1130.33,8,1.8,2.16,16
121,Asus X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,564,4,2,2,11
122,Asus VivoBook S15,1118,8,1.8,1.7,9
123,Acer Spin 3,479,6,2.4,2.1,2
124,MSI GS63VR 7RG,2241.5,16,2.8,1.8,5
125,Lenovo IdeaPad 320-15IKBN,629,8,2.5,2.2,6
126,HP Probook 470,1271,16,1.8,2.5,4
127,Acer Aspire 3,451,4,3,2.1,4
128,HP 250 G6,259,4,1.6,1.86,2
129,HP Probook 440,812,8,1.6,1.63,4
130,Asus E402WA-GA007T (E2-6110/4GB/64GB/W10,277.99,4,1.5,1.65,4
131,Dell Inspiron 5770,1396,16,1.8,2.8,6
132,HP ProBook 470,928,8,1.6,2.5,21
133,Dell Inspiron 5567,638.99,8,2.5,2.36,8
134,Dell Inspiron 3567,449,4,2,2.2,11
135,Acer Swift 3,884,8,1.8,1.6,4
136,Acer Aspire A515-51G-37JS,572,4,2.7,2.2,7
137,HP 15-BS078nr (i7-7500U/8GB/1TB/W10),598,8,2.7,2.05,1
138,HP Probook 440,988,8,1.8,1.63,6
139,Lenovo V110-15IAP (N3350/4GB/1TB/No,252.36,4,1.1,1.9,4
140,Asus FX753VD-GC086T (i5-7300HQ/8GB/1TB,938,8,2.5,3,20
141,Lenovo IdeaPad 320-15IKBN,499,4,2.5,2.2,10
142,HP Envy 13-AD007nv,699,4,2.5,1.32,1
143,Acer Aspire 5,655,4,2.7,3,9
144,Lenovo ThinkPad E480,1116.02,8,1.6,1.75,9
145,Lenovo Legion Y520-15IKBN,869,8,2.8,2.4,4
146,Toshiba Satellite Pro,602,4,2.3,2.1,13
147,HP 255 G6,369,4,2.5,1.86,1
148,Asus ZenBook UX430UA,1099,8,1.8,1.25,3
149,HP EliteBook Folio,2014,8,1.2,0.97,5
150,Asus X541NA (N3350/4GB/1TB/FHD/W10),344,4,1.1,2,10
151,MSI GE72MVR 7RG,2029,16,2.8,2.9,11
152,Acer Aspire A315-51,447,4,2,2.1,9
153,Dell Inspiron 5577,1249.26,16,2.8,2.56,3
154,Dell Inspiron 7567,899,8,2.8,2.62,6
155,Lenovo V110-15IKB (i5-7200U/4GB/128GB/W10),498,4,2.5,1.9,8
156,MSI GE73VR 7RE,1890,16,2.8,2.8,9
157,HP EliteBook 840,1082,4,2.7,1.48,3
158,HP 15-BS103nv (i5-8250U/6GB/256GB/Radeon,619,6,1.6,1.91,5
159,Lenovo Yoga 520-14IKB,629,4,2.4,1.74,3
160,Asus ZenBook Flip,1315,8,1.6,1.1,3
