id,model,price,ram,cpu,weight,layer
1,Apple MacBook Pro,1339.69,8,2.3,1.37,2
2,Apple Macbook Air,898.94,8,1.8,1.34,1
3,HP 250 G6,575,8,2.5,1.86,1
4,Apple MacBook Pro,2537.45,16,2.7,1.83,3
5,Apple MacBook Pro,1803.6,8,3.1,1.37,1
6,Acer Aspire 3,400,4,3,2.1,2
7,Apple MacBook Pro,2139.97,16,2.2,2.04,2
8,Apple Macbook Air,1158.7,8,1.8,1.34,2
9,Asus ZenBook UX430UN,1495,16,1.8,1.3,1
10,Acer Swift 3,770,8,1.6,1.6,1
11,HP 250 G6,393.9,4,2.5,1.86,1
12,HP 250 G6,344.99,4,2,1.86,1
13,Apple MacBook Pro,2439.97,16,2.8,1.83,2
14,Dell Inspiron 3567,498.9,4,2,2.2,6
15,Apple ""MacBook 12"""""",1262.4,8,1.2,0.92,1
16,Apple MacBook Pro,1518.55,8,2.3,1.37,3
17,Dell Inspiron 3567,745,8,2.7,2.2,3
18,Apple MacBook Pro,2858,16,2.9,1.83,1
19,Lenovo IdeaPad 320-15IKB,499,8,2.4,2.2,1
20,Dell XPS 13,979,8,1.6,1.22,1
21,Asus Vivobook E200HA,191.9,2,1.44,0.98,1
22,Lenovo Legion Y520-15IKBN,999,8,2.5,2.5,4
23,HP 255 G6,258,4,1.5,1.86,2
24,Dell Inspiron 5379,819,8,1.6,1.62,2
25,HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),659,8,1.8,1.91,2
26,Dell Inspiron 3567,418.64,4,2,2.3,4
27,Apple MacBook Air,1099,8,1.6,1.35,3
28,Dell Inspiron 5570,800,8,1.6,2.2,4
29,Dell Latitude 5590,1298,8,1.9,1.88,3
30,HP ProBook 470,896,8,1.6,2.5,6
31,Chuwi ""LapBook 15.6"""""",244.99,4,1.44,1.89,2
32,Asus E402WA-GA010T (E2-6110/2GB/32GB/W10),199,2,1.5,1.65,1
33,HP 17-ak001nv (A6-9220/4GB/500GB/Radeon,439,4,2.5,2.71,4
34,Dell XPS 13,1869,16,1.8,1.2,1
35,Apple MacBook Air,998,8,1.6,1.35,2
36,Lenovo IdeaPad 120S-14IAP,249,4,1.1,1.44,2
37,Acer Aspire 3,367,4,2.7,2.1,1
38,Dell Inspiron 5770,979,8,1.6,2.8,8
39,HP 250 G6,488.69,4,2.5,1.86,3
40,HP ProBook 450,879,8,1.6,2.1,5
41,Asus X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),389,4,2,2,2
42,Dell Inspiron 7577,1499,16,2.8,2.65,2
43,Asus X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,522.99,8,2.5,2.3,2
44,Acer Aspire A515-51G,682,4,1.6,2.2,7
